term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
human,0.0019904177,5.827802e-05,0.0023448258,0.009481067,0.00068080344,1.217421e-05,0.002466611,0.0011719876,0.00015308149,0.014708952
mean,0.0019710066,0.00013239498,2.1390237e-05,0.0025347043,0.0014393816,0.00092913676,0.0008257859,8.452238e-05,0.0020051138,0.0025668964
heart,0.0019560172,0.00040772939,0.0016090213,0.0020642786,0.002709479,2.7498194e-07,0.006769117,0.0036110429,0.007650635,0.0005181578
doctrine,0.0019303939,4.456661e-05,1.2357015e-07,0.0010201865,0.00034810253,0.0020025654,8.169037e-08,9.0310965e-07,1.1303621e-06,0.0002657928
matter,0.0019246009,9.073479e-05,6.792733e-05,0.00047620386,0.000199789,0.0031107347,1.3281265e-06,8.9664226e-08,0.0003729431,0.00048015304
shall,0.0019052721,0.00014753126,0.00027223103,0.0006049168,2.1531874e-05,0.0018216075,0.0020727841,3.7061325e-06,0.00030464167,5.7574284e-06
faithful,0.0019006826,0.00018691248,0.0006486227,0.0008780787,0.005267631,0.003418436,0.0018060353,0.002371119,0.000173558,6.5699e-07
pius,0.0018579322,4.597721e-07,1.5747487e-07,0.0001068134,6.867351e-08,0.0012741919,8.178341e-08,0.00024821004,8.131475e-08,5.7089796e-08
far,0.0018387923,0.00027991764,0.00048009987,0.00045571497,0.00032951316,0.00031476017,0.00030331672,0.00019851251,0.00052917266,0.0004087381
word,0.0018111713,0.0004040406,0.0019408372,0.0077368957,0.0045521944,0.00030248705,0.0074231164,0.001958846,0.005479224,0.00051042606
much,0.0018096714,0.0006121492,0.0013445528,0.00050489174,0.00077039766,0.0001264877,0.0001352743,0.0003106167,0.0026061274,0.0007395053
indeed,0.0018041758,0.00014651375,0.0009011148,0.0010429022,0.0008752132,0.0005934127,0.0009941178,0.0006628224,0.0009823663,0.0010159919
take,0.0018006405,0.0004453352,0.0013875529,0.0022821538,0.0018467485,0.0041581565,0.0030030261,0.0026429985,0.0044812905,0.0030334531
predecessor,0.0017823216,0.0005796836,0.0004614315,5.9372298e-05,7.7183795e-05,0.0012421511,8.611886e-08,0.000646702,8.13107e-08,0.00011140999
first,0.0017802868,0.00056004187,0.0019237469,0.0035133406,0.0020047459,0.0023298687,0.0031720703,0.002590586,0.0036832457,0.0011500858
hold,0.0017422576,0.0001745977,0.00042884276,0.0002682308,0.0003381644,0.00096725026,0.00038011026,0.0005145954,0.0004342324,0.00043973388
high,0.0017324734,5.804931e-05,0.00196798,0.00042738343,0.0004485085,0.0008143503,0.0007497653,0.00016480712,0.00011018515,0.0006900134
thus,0.0017301105,1.8387915e-05,0.00015957064,0.0029642098,0.00072713254,0.0006771001,0.0015245383,0.000692781,0.00095209543,0.0011748988
teaching,0.0017060124,6.580087e-05,6.455931e-05,0.0017621038,0.0012046931,0.00086288597,9.807707e-06,0.00028189018,1.5673755e-05,0.0003798781
cause,0.0016998366,0.00045460588,0.00086532143,0.00027334894,0.00028991574,0.00082392996,0.000343134,0.00025748246,0.00034649114,0.0015432559
day,0.0016988927,0.00024150588,0.0011288447,0.00046862703,0.0007409553,0.0013621765,0.0062377043,0.004214007,0.0033810905,0.001350364
whose,0.0016618817,6.9765076e-05,0.0010152196,0.00053093996,0.00070258183,0.0005538651,0.0006476687,0.0010817937,0.00010792845,0.0005370767
come,0.001651175,0.0020841584,0.0018727238,0.00214113,0.0020091792,0.00058609963,0.006578447,0.0029402908,0.005485074,0.000788852
religious,0.0016470198,0.00017443257,0.0061123315,0.0004642419,0.0060841613,0.0025207137,8.597363e-06,0.0013845747,0.00011564166,0.001313147
accord,0.0016441221,8.313552e-05,0.0003549064,0.001600802,0.00057432096,0.003123967,0.00079778867,0.00013565662,0.00021757807,0.00044836057
follow,0.0016338234,4.8192367e-05,0.0005619886,0.001019246,0.0012749005,0.0013037325,0.0014179276,0.0014194901,0.0013941212,0.00027763785
whole,0.001619896,0.0001989191,0.0015973276,0.0030095913,0.0025483496,0.0009491141,0.0016514163,0.0010460292,5.665942e-05,0.0012892522
especially,0.0016176658,7.8812285e-05,0.0013279819,0.0010708775,0.0020885994,0.0015574055,0.001352029,0.003224294,0.00044599487,0.0019259471
evil,0.0016150139,4.5980673e-07,1.5732127e-07,0.0008442848,7.2177194e-08,2.441602e-07,0.0010328657,9.034278e-08,0.0010270964,0.00023572765
example,0.0016068326,5.1362877e-05,0.00020752686,0.0006806173,0.0012979116,0.00018196204,0.0004082553,0.0018814747,0.0011191039,0.0005244187
principle,0.0016054158,2.1031978e-05,0.00031360268,0.0006308585,0.00015840775,0.0011422413,8.170634e-08,3.8017373e-07,8.265385e-08,0.0018071869
never,0.0015775327,0.00010657023,9.581476e-05,0.0004722971,0.0008655886,2.1019525e-05,0.0007824945,0.0003685905,0.002859207,0.000782284
care,0.001574149,5.150448e-07,9.512948e-07,4.4237393e-05,0.0018940407,0.0018209401,3.6962072e-05,0.0013333277,0.0013916232,0.001647636
error,0.0015622103,4.598548e-07,2.8565023e-06,0.00013461479,7.5874277e-06,0.00010966121,6.390125e-06,8.9666386e-08,3.6091013e-05,2.0940057e-05
teach,0.0015471235,2.2391127e-06,4.705656e-05,0.0013776779,0.0011509219,0.000824218,0.000647685,0.00011400819,0.0012937206,0.00028671473
action,0.001540595,0.00016612858,9.771511e-06,0.0011423088,0.0011996641,0.0005379026,0.00044354974,0.0007240348,0.00032792139,0.0015694596
clergy,0.0015325275,0.00021514142,0.00011011679,9.673879e-08,0.00091313256,0.0006232734,8.1659884e-08,2.0099274e-06,8.1309985e-08,5.68951e-08
