doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
church_councils__the_general_council_of_constance__1414_18,0.025427273583204898,9.519875258701948e-06,9.520346358775604e-06,0.00586210901345112,9.520127774140488e-06,0.00036946330007144685,9.520026369691922e-06,9.520163300829157e-06,9.520221378306934e-06,0.9682840333428321
church_councils__the_general_council_of_ephesus__431,3.514619220874982e-05,3.515217951331056e-05,3.514740241869919e-05,0.29383596727775646,3.5147513736410625e-05,3.5145217110617234e-05,3.514752230724471e-05,0.18294012394881662,3.514594483348074e-05,0.5229778768012984
church_councils__the_general_council_of_trent__1545_63,0.2986585090846572,0.0002941562100189104,0.0002941593773327525,0.0002941964623434919,0.00029419306433058626,0.0002941458098558415,0.00029415718923138357,0.018968193551180238,0.0002941799088730788,0.6803141093421765
church_councils__the_general_council_of_vienne__1311_12,6.9004504342445145e-06,6.900354641988227e-06,6.900481940461271e-06,6.900442305523731e-06,6.900237668970686e-06,6.898590676032628e-06,0.019810704748000826,5.10007193906991e-05,6.900360609495867e-06,0.9800899936143318
church_councils__the_second_general_council_of_constantinople__553,5.20420304985584e-05,5.20413215209346e-05,0.04522700768449075,0.06145326696394238,5.2042002395887106e-05,5.202968682192317e-05,5.2043360200087256e-05,5.204508619431215e-05,5.20457882833107e-05,0.8929554360756519
church_councils__the_second_general_council_of_lyons__1274,0.008551741518359988,0.026807392419750872,1.969458349898391e-05,1.9695072562802626e-05,1.9694105097632347e-05,1.9689156703133875e-05,0.010404038139732306,1.9694830856945857e-05,1.9694674255125794e-05,0.9541186654991822
church_councils__the_second_general_council_of_nicaea__787,4.631005467298852e-05,4.630928309673289e-05,4.630870152572503e-05,0.07181359655395766,0.020442876584797296,4.6297344474050834e-05,0.033546746748217046,0.05316096471441984,0.04271334082568807,0.7781372491891506
church_councils__the_second_general_council_of_the_lateran__1139,0.03809419333146443,7.754046675632308e-05,7.75414931519073e-05,0.01696485800094332,0.02497367753377091,7.752278097312751e-05,0.019298504065353658,7.754110797944107e-05,7.754052040414825e-05,0.9002810806992027
church_councils__the_third_general_council_of_constantinople__680_6,0.00012379518056887252,0.0001237935007525538,0.16335448286909654,0.16008371733973215,0.00012379475478748042,0.00012376416506068374,0.00012379400447446622,0.1240389865539897,0.00012379720036534393,0.5517800744311722
church_councils__the_third_general_council_of_the_lateran__1179,0.010385981772160947,3.0459656872042112e-05,3.0458884760812288e-05,3.0458703766508346e-05,0.013681431835127713,3.0451172804055055e-05,0.04734310301190338,3.0458532339449688e-05,3.0459493299846054e-05,0.9284067369369653
church_councils__vatican_ii___1962_1965,0.3877607515062586,0.0008851097945630974,0.0008850967605114284,0.0008851393430749639,0.000885036506045264,0.0008854216553947844,0.0008850586735774152,0.0008850544867781588,0.6051581545630711,0.0008851767107252273
pope_alexander_iv__clara_claris_praeclara,0.042631079245828415,6.315029825486016e-05,6.314874334886164e-05,0.08528993705662309,6.315105534205825e-05,0.19661258534944556,0.12359716359642518,0.39622759339957464,6.315103991717028e-05,0.1553890402152402
pope_alexander_iv__petitionibus_vestris_benignum_impertientes,0.0029414886236160207,0.002941334046454597,0.0029412213283445876,0.0029412915098799186,0.002941195391427335,0.9735276635224479,0.0029412036566449705,0.0029413551909076466,0.0029415237822586586,0.0029417229480182988
pope_alexander_vi__inter_caetera,0.0001324794242339129,0.0001324828106338222,0.0001324895936895282,0.04308295331885963,0.00013248493303335624,0.00013245560617546626,0.4960999147259004,0.00013248785554923487,0.00013247994149478555,0.45988977179042984
pope_alexander_vii__super_cathedram_principis_apostolorum,0.045702775440782786,0.0009709249349786926,0.0009709776038700079,0.000971133367960141,0.0009710111826931644,0.9465293995933807,0.000970896774437123,0.000970938271787059,0.0009709453855990987,0.0009709974445110533
pope_benedict_xii__benedictus_deus,0.00047183111774568026,0.0004718193664015962,0.00047183822771106884,0.29014037526306824,0.00047181631910065043,0.0004717007426999792,0.0004718246632375922,0.42828321474185405,0.0004718025339236328,0.2782737770242577
pope_benedict_xiv__a_quo_primum,0.00011114920641849859,0.04641748885264126,0.00011114671595192205,0.00011114263614055916,0.00011114227704112617,0.00011111848995558191,0.3517905557058168,0.00011114518777776794,0.00011114139585501934,0.6010139695324015
pope_benedict_xiv__accepimus_praestantium,4.882938830302191e-05,4.882876282944695e-05,4.882893922971394e-05,4.882893424015904e-05,4.882877137780217e-05,0.9995605399667343,4.8828353913326265e-05,4.882860961517822e-05,4.8828593566216585e-05,4.882968019066436e-05
pope_benedict_xiv__allatae_sunt,0.7490021839430121,1.362167023974293e-05,1.362224305775003e-05,1.3622384691787392e-05,1.3622294601887684e-05,1.3621356444171275e-05,0.036173161874856974,0.01612987571436425,1.3621772655558435e-05,0.19861304674607577
pope_benedict_xiv__apostolica_constitutio,0.2567053038141597,2.1027387909290908e-05,5.1531565813165606e-05,0.08903382201441368,0.016960671671428756,2.1031013399062075e-05,0.18058200560234172,0.14810261296124272,2.1026989915350776e-05,0.30850096697937646
pope_benedict_xiv__benedictus_deus,5.4437162082549694e-05,5.44368620764658e-05,5.443687476761567e-05,5.443803901679028e-05,5.4436782912940524e-05,0.9995100649667674,5.443722426828934e-05,5.443769454654866e-05,5.443707263239671e-05,5.443732092877267e-05
