term_str,doc_id
labor,vatican__leo-xiv__en__homilies_2025_documents_20251109_dedicazione_basilica_lateranense_html
labor,vatican__leo-xiv__en__homilies_2026_documents_20260108_messa_concistoro_html
labor,vatican__leo-xiv__en__homilies_2026_documents_20260423_guinea_equatoriale_messa_malabo_html
labor,vatican__leo-xiv__en__messages_peace_documents_20251208_messaggio_pace_html
labor,vatican__leo-xiv__en__messages_poor_documents_20250613_messaggio_giornata_poveri_html
labor,vatican__leo-xiv__en__speeches_2025_december_documents_20251218_consulenti_lavoro_html
labor,vatican__leo-xiv__en__speeches_2025_october_documents_20251009_union_leaders_html
labor,vatican__leo-xiv__en__speeches_2025_october_documents_20251023_movimenti_popolari_html
labor,vatican__leo-xiv__en__speeches_2025_october_documents_20251024_compagnia_gesu_html
labor,vatican__leo-xiv__en__speeches_2026_april_documents_20260421_guinea_eq_autorita_html
labor,vatican__leo-xiv__en__speeches_2026_february_documents_20260221_oblati_missionariensa_html
labor,vatican__paul-vi__en__apost_exhortations_documents_hf_p_vi_exh_19710629_evangelica_testificatio_html
labor,vatican__paul-vi__en__apost_exhortations_documents_hf_p_vi_exh_19750509_gaudete_in_domino_html
labor,vatican__paul-vi__en__apost_letters_documents_hf_p_vi_apl_19710514_octogesima_adveniens_html
labor,vatican__paul-vi__en__encyclicals_documents_hf_p_vi_enc_03091965_mysterium_html
labor,vatican__paul-vi__en__encyclicals_documents_hf_p_vi_enc_06081964_ecclesiam_html
labor,vatican__paul-vi__en__encyclicals_documents_hf_p_vi_enc_26031967_populorum_html
labor,vatican__paul-vi__en__speeches_1963_documents_hf_p_vi_spe_19630926_georgetown_university_html
labor,vatican__paul-vi__en__speeches_1964_documents_hf_p_vi_spe_19640523_capitolari_html
labor,vatican__paul-vi__en__speeches_1965_documents_hf_p_vi_spe_19651004_united_nations_html
labor,vatican__paul-vi__en__speeches_1969_january_documents_hf_p_vi_spe_19690107_nuovi_vescovi_html
labor,vatican__paul-vi__en__speeches_1972_april_documents_hf_p_vi_spe_19720417_collegio_americano_html
labor,vatican__paul-vi__en__speeches_1973_march_documents_hf_p_vi_spe_19730308_new_cardinals_relatives_friends_html
labor,vatican__paul-vi__en__speeches_1977_june_documents_hf_p_vi_spe_19770620_canonizzazione_neumann_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_04101903_e_supremi_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_07061912_lacrimabili_statu_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_11021906_vehementer_nos_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_11061905_il_fermo_proposito_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_15041905_acerbo_nimis_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_24091912_singulari_quadam_html
labor,vatican__pius-x__en__encyclicals_documents_hf_p_x_enc_26051910_editae_saepe_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_03051932_caritate_christi_compulsi_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_03061933_dilectissima_nobis_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_11121925_quas_primas_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19221223_ubi_arcano_dei_consilio_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19301231_casti_connubii_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19310515_quadragesimo_anno_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19351220_ad_catholici_sacerdotii_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19370319_divini_redemptoris_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_19370328_firmissimam_constantiam_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_26011923_rerum_omnium_perturbationem_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_28021926_rerum_ecclesiae_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_28031937_nos_es_muy_conocida_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_30041926_rite_expiatis_html
labor,vatican__pius-xi__en__encyclicals_documents_hf_p_xi_enc_31121929_divini_illius_magistri_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_01111939_sertum_laetitiae_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_02061951_evangelii_praecones_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_02071957_le_pelerinage_de_lourdes_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_05061954_ecclesiae_fastos_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_07101954_ad_sinarum_gentem_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_09041944_orientalis_ecclesiae_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_12031950_anni_sacri_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_12081950_humani_generis_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_13061940_saeculo_exeunte_octavo_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_14071958_meminisse_iuvat_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_15041949_redemptoris_nostri_cruciatus_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_16051957_invicti_athletae_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_18121947_optatissima_pax_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_20111947_mediator_dei_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_21031947_fulgens_radiatur_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_23121945_orientales_omnes_ecclesias_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_25031954_sacra_virginitas_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_25121955_musicae_sacrae_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_29061943_mystici_corporis_christi_html
labor,vatican__pius-xii__en__encyclicals_documents_hf_p_xii_enc_30091943_divino_afflante_spiritu_html
labor,vatican__pius-xii__en__speeches_1953_documents_hf_p_xii_spe_19531208_fao_html
labor,vatican__pius-xii__en__speeches_1955_documents_hf_p_xii_spe_19551110_fao_html
labor,vatican__pius-xii__en__speeches_1956_documents_hf_p_xii_spe_19560204_conferenza_industria_html
labor,vatican__pius-xii__en__speeches_1957_documents_hf_p_xii_spe_19571104_comunita_carbone_acciaio_html
justice,church_councils__the_fifth_general_council_of_the_lateran__1512_17
justice,church_councils__the_first_general_council_of_constantinople__381
justice,church_councils__the_first_general_council_of_lyons__1245
justice,church_councils__the_fourth_general_council_of_constantinople__869_
justice,church_councils__the_fourth_general_council_of_the_lateran__1215
justice,church_councils__the_general_council_of_basel_ferrara_florence__143
justice,church_councils__the_general_council_of_chalcedon__451
justice,church_councils__the_general_council_of_constance__1414_18
justice,church_councils__the_general_council_of_vienne__1311_12
justice,church_councils__the_second_general_council_of_constantinople__553
justice,church_councils__the_second_general_council_of_nicaea__787
justice,church_councils__the_second_general_council_of_the_lateran__1139
justice,church_councils__the_third_general_council_of_the_lateran__1179
justice,pope_benedict_xiv__apostolica_constitutio
justice,pope_benedict_xiv__magnae_nobis
justice,pope_benedict_xiv__nimiam_licentiam
justice,pope_benedict_xiv__quod_provinciale
justice,pope_benedict_xiv__ubi_primum
justice,pope_benedict_xiv__vix_pervenit
justice,pope_benedict_xv__ad_beatissimi_apostolorum
justice,pope_benedict_xv__fausto_appetente_die
justice,pope_benedict_xv__in_praeclara_summorum
justice,pope_benedict_xv__pacem__dei_munus_pulcherrimum
justice,pope_benedict_xv__quod_iam_diu
justice,pope_benedict_xv__spiritus_paraclitus
justice,pope_benedict_xvi__africae_munus
justice,pope_benedict_xvi__caritas_in_veritate
justice,pope_benedict_xvi__deus_caritas_est
justice,pope_benedict_xvi__doctrinal_note_on_some_aspects_of_evangelization
justice,pope_benedict_xvi__instruction_dignitas_personae_on_certain_bioethica
justice,pope_benedict_xvi__letter_to_the_bishops__priests__consecrated_person
justice,pope_benedict_xvi__sacramentum_caritatis
justice,pope_benedict_xvi__spe_salvi
justice,pope_bl__pius_ix__amantissimus
justice,pope_bl__pius_ix__apostolicae_nostrae_caritatis
justice,pope_bl__pius_ix__beneficia_dei
justice,pope_bl__pius_ix__cum_nuper
justice,pope_bl__pius_ix__cum_sancta_mater_ecclesia
justice,pope_bl__pius_ix__etsi_multa
justice,pope_bl__pius_ix__exultavit_cor_nostrum
justice,pope_bl__pius_ix__graves_ac_diuturnae
justice,pope_bl__pius_ix__gravibus_ecclesiae
justice,pope_bl__pius_ix__incredibili
justice,pope_bl__pius_ix__ineffabilis_deus
justice,pope_bl__pius_ix__levate
justice,pope_bl__pius_ix__maximae_quidem
justice,pope_bl__pius_ix__neminem_vestrum
justice,pope_bl__pius_ix__nemo_certe_ignorat
justice,pope_bl__pius_ix__nostis_et_nobiscum
justice,pope_bl__pius_ix__nullis_certe_verbis
justice,pope_bl__pius_ix__quanta_cura
justice,pope_bl__pius_ix__quanto_conficiamur_moerore
justice,pope_bl__pius_ix__quartus_supra
justice,pope_bl__pius_ix__qui_pluribus
justice,pope_bl__pius_ix__quod_nunquam
justice,pope_bl__pius_ix__respicientes
justice,pope_bl__pius_ix__saepe_venerabiles_fratre
justice,pope_bl__pius_ix__saepe_venerabiles_fratres
justice,pope_bl__pius_ix__singulari_quidem
justice,pope_bl__pius_ix__the_syllabus_of_errors
justice,pope_bl__pius_ix__ubi_nos
justice,pope_clement_xi__unigenitus
justice,pope_clement_xiii__a_quo_die
justice,pope_clement_xiii__appetente_sacro
justice,pope_clement_xiii__christianae_reipublicae
justice,pope_clement_xiii__pastoralis_officii
justice,pope_clement_xiv__cum_summi
justice,pope_clement_xiv__decet_quam_maxime
justice,pope_clement_xiv__salutis_nostrae
justice,pope_francis__dilexit_nos_
justice,pope_francis__evangelii_guadium
